,Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
316,IDCJAC0011,94029,1882,11,13,7.7,1.0,Y
317,IDCJAC0011,94029,1882,11,14,10.0,1.0,Y
318,IDCJAC0011,94029,1882,11,15,12.2,1.0,Y
319,IDCJAC0011,94029,1882,11,16,5.6,1.0,Y
320,IDCJAC0011,94029,1882,11,17,11.1,1.0,Y
321,IDCJAC0011,94029,1882,11,18,12.9,1.0,Y
322,IDCJAC0011,94029,1882,11,19,11.4,1.0,Y
323,IDCJAC0011,94029,1882,11,20,10.6,1.0,Y
324,IDCJAC0011,94029,1882,11,21,9.4,1.0,Y
325,IDCJAC0011,94029,1882,11,22,11.7,1.0,Y
326,IDCJAC0011,94029,1882,11,23,9.6,1.0,Y
327,IDCJAC0011,94029,1882,11,24,10.0,1.0,Y
328,IDCJAC0011,94029,1882,11,25,10.4,1.0,Y
329,IDCJAC0011,94029,1882,11,26,10.4,1.0,Y
330,IDCJAC0011,94029,1882,11,27,14.6,1.0,Y
331,IDCJAC0011,94029,1882,11,28,16.8,1.0,Y
332,IDCJAC0011,94029,1882,11,29,10.4,1.0,Y
333,IDCJAC0011,94029,1882,11,30,6.3,1.0,Y
334,IDCJAC0011,94029,1882,12,1,12.0,1.0,Y
335,IDCJAC0011,94029,1882,12,2,11.2,1.0,Y
336,IDCJAC0011,94029,1882,12,3,11.2,1.0,Y
337,IDCJAC0011,94029,1882,12,4,10.3,1.0,Y
338,IDCJAC0011,94029,1882,12,5,13.8,1.0,Y
339,IDCJAC0011,94029,1882,12,6,15.8,1.0,Y
340,IDCJAC0011,94029,1882,12,7,7.6,1.0,Y
341,IDCJAC0011,94029,1882,12,8,11.2,1.0,Y
342,IDCJAC0011,94029,1882,12,9,18.2,1.0,Y
343,IDCJAC0011,94029,1882,12,10,10.9,1.0,Y
344,IDCJAC0011,94029,1882,12,11,10.9,1.0,Y
345,IDCJAC0011,94029,1882,12,12,10.6,1.0,Y
346,IDCJAC0011,94029,1882,12,13,12.1,1.0,Y
347,IDCJAC0011,94029,1882,12,14,13.7,1.0,Y
348,IDCJAC0011,94029,1882,12,15,11.7,1.0,Y
349,IDCJAC0011,94029,1882,12,16,11.4,1.0,Y
350,IDCJAC0011,94029,1882,12,17,7.9,1.0,Y
351,IDCJAC0011,94029,1882,12,18,11.3,1.0,Y
352,IDCJAC0011,94029,1882,12,19,12.9,1.0,Y
353,IDCJAC0011,94029,1882,12,20,8.4,1.0,Y
354,IDCJAC0011,94029,1882,12,21,10.4,1.0,Y
355,IDCJAC0011,94029,1882,12,22,11.5,1.0,Y
356,IDCJAC0011,94029,1882,12,23,15.2,1.0,Y
357,IDCJAC0011,94029,1882,12,24,11.6,1.0,Y
358,IDCJAC0011,94029,1882,12,25,9.1,1.0,Y
359,IDCJAC0011,94029,1882,12,26,11.8,1.0,Y
360,IDCJAC0011,94029,1882,12,27,13.0,1.0,Y
361,IDCJAC0011,94029,1882,12,28,15.4,1.0,Y
362,IDCJAC0011,94029,1882,12,29,11.7,1.0,Y
363,IDCJAC0011,94029,1882,12,30,8.4,1.0,Y
364,IDCJAC0011,94029,1882,12,31,12.7,1.0,Y
365,IDCJAC0011,94029,1883,1,1,10.0,1.0,Y
366,IDCJAC0011,94029,1883,1,2,10.8,1.0,Y
367,IDCJAC0011,94029,1883,1,3,10.9,1.0,Y
368,IDCJAC0011,94029,1883,1,4,12.8,1.0,Y
369,IDCJAC0011,94029,1883,1,5,12.9,1.0,Y
370,IDCJAC0011,94029,1883,1,6,14.2,1.0,Y
371,IDCJAC0011,94029,1883,1,7,18.2,1.0,Y
372,IDCJAC0011,94029,1883,1,8,14.4,1.0,Y
373,IDCJAC0011,94029,1883,1,9,11.5,1.0,Y
374,IDCJAC0011,94029,1883,1,10,13.2,1.0,Y
375,IDCJAC0011,94029,1883,1,11,11.0,1.0,Y
376,IDCJAC0011,94029,1883,1,12,13.2,1.0,Y
377,IDCJAC0011,94029,1883,1,13,14.7,1.0,Y
378,IDCJAC0011,94029,1883,1,14,13.2,1.0,Y
379,IDCJAC0011,94029,1883,1,15,13.2,1.0,Y
380,IDCJAC0011,94029,1883,1,16,22.8,1.0,Y
381,IDCJAC0011,94029,1883,1,17,11.2,1.0,Y
382,IDCJAC0011,94029,1883,1,18,9.8,1.0,Y
